Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.89	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-27.87	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.87	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-27.87	31.17
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.84	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-27.82	31.87
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-27.82	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.77	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-27.77	44.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-27.76	31.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-27.75	44.60
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.73	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.73	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-27.72	32.10
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-27.70	31.42
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-27.67	40.51
